original_name,synonym_tr8,h_max,h_min,le_area,le_long,seed_wght,li_span,canopy_height,leaf_dmc,leaf_mass,leaf_size,life_span,seed_mass,seed_number_per_shoot,C.N.Ratio,Height..Mature,Lifespan,seed_mas_cal,seed_pro_cal,leaf_N_area,leaf_N_mass,max_height_cal,sla_cal
Lysimachia europaea,Trientalis europaea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1075,153.37,7.87,221.8616667,NA,0.64225,1068.507143,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysimachia nemorum,Lysimachia nemorum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,196.5,8.178871065,252.5,perennials,0.3788,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysimachia thyrsiflora,Lysimachia thyrsiflora,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.416666667,200.69,31.65,1613.75,perennials,NA,92.4,Medium,2,Moderate,NA,NA,NA,NA,NA,NA
Lysimachia vulgaris,Lysimachia vulgaris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.896,242.6233333,95.08408684,2539.25,perennials,0.3224,21172.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lythrum portula,Lythrum portula,NA,NA,NA,NA,NA,NA,0.103333333,277,1.289932886,31,NA,0.0332,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lythrum salicaria,Lythrum salicaria,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.708333333,179.845,51.07559052,1742.375,perennials,0.085928,85051.13093,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maianthemum bifolium,Maianthemum bifolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.125,240.685,1594.375,1574.25,NA,46.8332,616.3688889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaxis monophyllos,Malaxis monophyllos,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malus sylvestris,Malus sylvestris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),6,248.8,200.2542463,2910.14,NA,23.634,2500,Medium,40,Moderate,NA,NA,NA,NA,NA,NA
Matteuccia struthiopteris,Matteuccia struthiopteris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.9,202.095,3693.195,116415.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medicago lupulina,Medicago lupulina,NA,NA,NA,NA,NA,a (annual) - b (biennial) - p (pluriennial-pollakanthic),0.25,196,17.27838062,509.3333333,annuals + perennials + strict monocarpic bi-annuals and poly-annuals,1.779927778,15274.34231,Low,2,Short,1.53,NA,NA,NA,NA,NA
Melampyrum cristatum,Melampyrum cristatum,NA,NA,NA,NA,NA,a (annual),0.283333333,184.31,15.315,378.5,annuals,4.875866667,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melampyrum pratense,Melampyrum pratense,NA,NA,NA,NA,NA,a (annual),0.24,205,7.49044586,240,winter annuals,5.66542,704.4261905,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melampyrum sylvaticum,Melampyrum sylvaticum,NA,NA,NA,NA,NA,a (annual),0.2875,153.39,8,434.75,NA,6.3864,1223.957143,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melica nutans,Melica nutans,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.225,340,12.91303491,402,perennials,2.492059259,2490.771429,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melica uniflora,Melica uniflora,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.325,NA,NA,NA,perennials,2.899963636,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mentha aquatica,Mentha aquatica,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.383333333,179.62,40.61556358,1722.4375,perennials,0.12832381,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mentha arvensis,Mentha arvensis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.25,174.7514286,14.21285714,604.2514286,perennials,0.181206667,19327.73077,,2.6,Short,NA,NA,NA,NA,NA,NA
Menyanthes trifoliata,Menyanthes trifoliata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.176666667,193.7266667,211.286,4425.166667,perennials,2.97472,175.8306667,Medium,0.8,Moderate,1.83,NA,NA,NA,NA,NA
Mercurialis perennis,Mercurialis perennis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.216666667,224.5,83.87061082,1890.5,perennials,5.551428571,409.3666666,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mertensia maritima,Mertensia maritima,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micranthes nivalis,Saxifraga nivalis,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,0.04,348.9333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micranthes stellaris,Saxifraga stellaris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.115,158.08,1.38,31.47,NA,0.03048,488.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milium effusum,Milium effusum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.625,251,48.94143984,1621.5,perennials,1.137,6875.943333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minuartia rubella,Minuartia rubella,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,0.0816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minuartia stricta,Minuartia stricta,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.066666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moehringia trinervia,Moehringia trinervia,NA,NA,NA,NA,NA,a (annual) - p (pluriennial-pollakanthic),0.175,179.3333333,2.397892544,81.33333333,annuals + perennials + strict monocarpic bi-annuals and poly-annuals,0.21,1376.528571,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molinia caerulea,Molinia caerulea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.7875,369.7166667,56.85673155,1286.625,perennials,0.714553846,34999.33334,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moneses uniflora,Moneses uniflora,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.0875,273.56,14.95,321,NA,0.002,578219.8335,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monotropa hypopitys,Monotropa hypopitys,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.135,NA,NA,NA,NA,0.003,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montia fontana,Montia fontana,NA,NA,NA,NA,NA,a (annual) - p (pluriennial-pollakanthic),0.163333333,108.59,0.421666667,15.55,summer annuals + winter annuals + poly-annuals < 5 years (short-lived perennials),0.2625,9,NA,NA,NA,0.218,90,NA,NA,NA,NA
Mycelis muralis,Mycelis muralis,NA,NA,NA,NA,NA,b (biennial) - p (pluriennial-pollakanthic),0.5,NA,NA,NA,perennials,0.31632,7208.058334,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis arvensis,Myosotis arvensis,NA,NA,NA,NA,NA,a (annual) - b (biennial),0.23,123,28.22270336,759.5,annuals + strict monocarpic bi-annuals and poly-annuals,0.2927,19966.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis decumbens,Myosotis decumbens,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis discolor,Myosotis discolor,NA,NA,NA,NA,NA,a (annual),0.2075,169.36,3.630173546,79.375,NA,0.1891175,23.75,NA,NA,NA,0.244,NA,NA,NA,NA,NA
Myosotis laxa,Myosotis laxa,NA,NA,NA,NA,NA,b (biennial),0.21125,122.3725,6.869437839,326.9375,annuals,0.224,222.8823529,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis nemorosa,Myosotis nemorosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.415,NA,NA,NA,perennials,NA,33859.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis ramosissima,Myosotis ramosissima,NA,NA,NA,NA,NA,a (annual),0.101666667,146.6666667,9.064327485,187,annuals + winter annuals + strict monocarpic bi-annuals and poly-annuals,0.20185,191.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis scorpioides,Myosotis scorpioides,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.278333333,142.6375,17.64523822,1086.0625,perennials,0.3013,17106.83333,Medium,1.5,Short,NA,NA,NA,NA,NA,NA
Myosotis stricta,Myosotis stricta,NA,NA,NA,NA,NA,a (annual),0.06,181.81,1.33,35.25,strict monocarpic bi-annuals and poly-annuals,0.1249575,1237.323529,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosurus minimus,Myosurus minimus,NA,NA,NA,NA,NA,a (annual),0.0675,123.16,4.84,112,strict monocarpic bi-annuals and poly-annuals,0.094033333,2516.7,Medium,0.4,Short,0.0888,NA,NA,NA,NA,NA
Myrica gale,Myrica gale,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.216666667,345,13.09305263,169,NA,1.170271579,15549.75,,6,Moderate,NA,NA,NA,NA,NA,NA
Myricaria germanica,Myricaria germanica,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.3,NA,NA,NA,NA,0.054444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myriophyllum alterniflorum,Myriophyllum alterniflorum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.45,203.81,0.11,8.14,NA,0.6148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myriophyllum spicatum,Myriophyllum spicatum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1,240.22,3.8,33.825,NA,1.2705,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myriophyllum verticillatum,Myriophyllum verticillatum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Najas flexilis,Najas flexilis,NA,NA,NA,NA,NA,a (annual),NA,NA,NA,NA,summer annuals,NA,NA,Low,2.5,Short,NA,NA,NA,NA,NA,NA
Najas marina,Najas marina,NA,NA,NA,NA,NA,a (annual),NA,60.78,1.16,41.25,summer annuals,4.19,28.36363636,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nardus stricta,Nardus stricta,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.12,416.6666667,13.61826651,94.90958333,perennials,0.357236111,930.157778,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narthecium ossifragum,Narthecium ossifragum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.165,159,40.3321267,1087,perennials + poly-annuals 5-50 years (medium-lived perennials),0.087531429,190.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neottia nidus-avis,Neottia nidus-avis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,perennials,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigritella nigra,Nigritella nigra,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuphar lutea,Nuphar lutea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.03,168.555,1627.129464,26244.25,poly-annuals 5-50 years (medium-lived perennials),24.76116667,469.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuphar pumila,Nuphar pumila,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.03,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphaea alba,Nymphaea alba,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.03,181,2682.7,39342,poly-annuals 5-50 years (medium-lived perennials),1.901818182,1088.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphaea candida,Nymphaea candida,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.03,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontites litoralis,Odontites litoralis,NA,NA,NA,NA,NA,a (annual),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontites vernus,Odontites vernus,NA,NA,NA,NA,NA,a (annual),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oenanthe aquatica,Oenanthe aquatica,NA,NA,NA,NA,NA,a (annual) - b (biennial) - h (pluriennial-hapaxanthic),0.6,136.45,209.9533333,4890.25,annuals + perennials + summer annuals + strict monocarpic bi-annuals and poly-annuals,2.7778,47100,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oenothera ammophila,Oenothera ammophila,NA,NA,NA,NA,NA,b (biennial),0.44,114.34,95.525,1962.75,NA,NA,2305.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omalotheca norvegica,Omalotheca norvegica,NA,NA,NA,NA,NA,NA,0.1425,219.8266667,17.25214286,344.8648276,NA,0.092,422.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omalotheca supina,Omalotheca supina,NA,NA,NA,NA,NA,NA,0.033333333,242.2,0.768666667,17.05393939,NA,0.083333333,33.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omalotheca sylvatica,Omalotheca sylvatica,NA,NA,NA,NA,NA,NA,0.325,NA,NA,NA,perennials + poly-annuals 5-50 years (medium-lived perennials),0.0502,173887.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ononis arvensis,Ononis arvensis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.5,NA,NA,NA,perennials,4.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ononis spinosa,Ononis spinosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.275,NA,NA,NA,perennials + poly-annuals < 5 years (short-lived perennials),4.951107692,152,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophioglossum vulgatum,Ophioglossum vulgatum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.125,110,60.01571214,1487,poly-annuals 5-50 years (medium-lived perennials),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophrys insectifera,Ophrys insectifera,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2,122,11.54538341,325,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orchis mascula,Orchis mascula,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.165,122.69,142.2606875,2527.666667,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreopteris limbosperma,Oreopteris limbosperma,NA,NA,NA,NA,NA,NA,0.75,289,2093.994833,28156,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Origanum vulgare,Origanum vulgare,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.408333333,233,23.36623932,511,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.09555,108671.8334,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthilia secunda,Orthilia secunda,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.0975,340.23,16.98,348,perennials,NA,2036.5,NA,NA,NA,0.001,NA,NA,NA,NA,NA
Osmunda regalis,Osmunda regalis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1,278.025,12365.9375,164635.19,poly-annuals 5-50 years (medium-lived perennials),NA,846513.3333,High,6,Long,NA,NA,NA,NA,NA,NA
Oxalis acetosella,Oxalis acetosella,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.0925,129.785,7.689057145,806,perennials + poly-annuals 5-50 years (medium-lived perennials),0.961,765.5377778,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxycoccus microcarpus,Vaccinium microcarpum,NA,NA,NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxycoccus palustris,Vaccinium oxycoccos,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3875,327.17,1.37,15.95,perennials + poly-annuals 5-50 years (medium-lived perennials),26.47807143,419.7435898,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxyria digyna,Oxyria digyna,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1,94.89,8.65,NA,NA,0.7224,67.64,Low,1,Moderate,0.536,NA,NA,NA,NA,NA
Oxytropis campestris,Oxytropis campestris,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,perennials,2.1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paris quadrifolia,Paris quadrifolia,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2,176,37.85083333,1325,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),119.6368,209.4388889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parnassia palustris,Parnassia palustris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.125,163.502,20.78059505,491.375,perennials + poly-annuals 5-50 years (medium-lived perennials),0.036076,1210,Medium,2.2,Long,NA,NA,NA,NA,NA,NA
Pedicularis lapponica,Pedicularis lapponica,NA,NA,NA,NA,NA,NA,0.1,185.03,4.13,90.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pedicularis oederi,Pedicularis oederi,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.06,142.3,14.22,226.913,NA,0.960723404,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pedicularis palustris,Pedicularis palustris,NA,NA,NA,NA,NA,b (biennial) - h (pluriennial-hapaxanthic) - p (pluriennial-pollakanthic),0.24,152.8,25,391.83,strict monocarpic bi-annuals and poly-annuals,1.509176471,2603.444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pedicularis sceptrum-carolinum,Pedicularis sceptrum-carolinum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.5,NA,NA,NA,perennials,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pedicularis sylvatica,Pedicularis sylvatica,NA,NA,NA,NA,NA,b (biennial) - h (pluriennial-hapaxanthic) - p (pluriennial-pollakanthic),0.123333333,162,1.028571429,12,perennials + strict monocarpic bi-annuals and poly-annuals,0.895,3605.391667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persicaria amphibia,Persicaria amphibia,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persicaria hydropiper,Persicaria hydropiper,NA,NA,NA,NA,NA,a (annual),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persicaria lapathifolia,Persicaria lapathifolia,NA,NA,NA,NA,NA,a (annual),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persicaria minor,Persicaria minor,NA,NA,NA,NA,NA,a (annual),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petasites albus,Petasites albus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.425,121.0633333,919.5,23322.58333,poly-annuals 5-50 years (medium-lived perennials),0.234,1263.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalaris arundinacea,Phalaris arundinacea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.45,263,128.7016232,3366,perennials,0.652637037,16414.33334,Medium,5,Long,0.667,NA,NA,NA,NA,NA
Phegopteris connectilis,Phegopteris connectilis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.225,189.65,191.06,7386,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phippsia algida,Phippsia algida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phleum alpinum,Phleum alpinum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.071666667,367.45,19.9125,242.632,NA,0.3849,57.08333333,Low,1.4,Moderate,0.168,NA,NA,NA,NA,NA
Phleum phleoides,Phleum phleoides,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,319.39,17.74,322.75,perennials,0.15992,727.0909091,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phleum pratense,Phleum pratense,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.371,276.1428571,9.907277134,380,perennials,0.58775,4230.984615,Low,3,Moderate,NA,NA,NA,NA,NA,NA
Phragmites australis,Phragmites australis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),2.5,403.1,348.3943855,6925.875,perennials,0.134285714,15467.7,High,13.1,Long,4.01,NA,NA,NA,NA,NA
Phyllodoce caerulea,Phyllodoce caerulea,NA,NA,NA,NA,NA,NA,0.13,460.7,0.834117647,8.418333333,NA,0.020857143,280.2727273,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyteuma spicatum,Phyteuma spicatum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2375,127.8,26.94,1272,perennials + poly-annuals 5-50 years (medium-lived perennials),0.1496,474,NA,NA,NA,NA,NA,NA,NA,NA,NA
Picea abies,Picea abies,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),50,NA,NA,NA,perennials,6.663666667,80374.5,High,130,Moderate,NA,NA,NA,NA,NA,NA
Pimpinella saxifraga,Pimpinella saxifraga,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.413333333,285.5,189.6,2609.5,perennials + poly-annuals 5-50 years (medium-lived perennials),1.149225,13910.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinguicula alpina,Pinguicula alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.03,73.81,1.75,83.7,perennials,14.8,197,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinguicula vulgaris,Pinguicula vulgaris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.04875,83.3,4.378080986,150.1225,perennials + poly-annuals 5-50 years (medium-lived perennials),2.654754286,105.7666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus sylvestris,Pinus sylvestris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),34.5,299.1142857,10.81,65.94285714,perennials,7.572,11196.5,High,110,Moderate,NA,NA,NA,NA,NA,NA
Plantago lanceolata,Plantago lanceolata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.16125,166.90125,82.78745633,2567,annuals + perennials + strict monocarpic bi-annuals and poly-annuals + poly-annuals 5-50 years (medium-lived perennials),1.616750877,10029.88611,NA,NA,NA,1.6,NA,NA,NA,NA,NA
Plantago major,Plantago major,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.37,107,1016.91327,30968,annuals + perennials + strict monocarpic bi-annuals and poly-annuals + poly-annuals < 5 years (short-lived perennials),0.267838095,78230.20513,Medium,0.3,Short,0.228,NA,NA,NA,NA,NA
Plantago maritima,Plantago maritima,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.231666667,114.5175,65.985,791.3125,perennials,0.75095,1268.25,NA,NA,NA,0.312,NA,NA,NA,NA,NA
Plantago media,Plantago media,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.171666667,145.3333333,297.7349642,4827.666667,perennials + poly-annuals < 5 years (short-lived perennials),0.385075,1664.682857,NA,NA,NA,NA,NA,NA,NA,NA,NA
Platanthera bifolia,Platanthera bifolia,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.16,112.29,95.52,2532.75,perennials,NA,4.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poa alpina,Poa alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1025,299.16,7.05,122.92,perennials,0.431111111,16.7,Medium,1.7,Long,NA,NA,NA,NA,NA,NA
Poa arctica,Poa arctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,2,Short,NA,NA,NA,NA,NA,NA
Poa bulbosa,Poa bulbosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.11,215.06,0.8,16.08,NA,0.404312,191.9411765,Low,1.5,Long,NA,NA,NA,NA,NA,NA
Poa compressa,Poa compressa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.375,282.3333333,7.362884197,170,perennials,0.204577778,19450.3,Medium,2,Moderate,NA,NA,NA,NA,NA,NA
Poa glauca,Poa glauca,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,249.51,4.15,148.57,NA,0.352,1.7,Low,2,Short,NA,NA,NA,NA,NA,NA
Poa nemoralis,Poa nemoralis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.5,319,8.838643694,536.5,perennials,0.181745455,9484.508335,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poa palustris,Poa palustris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.8175,334.45,1.3,55,perennials,0.15525,NA,Medium,4,Moderate,0.224,NA,NA,NA,NA,NA
Poa pratensis,Poa pratensis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,308.59,35.79994805,1025,perennials,0.272595238,68147,Low,1.5,Long,NA,NA,NA,NA,NA,NA
Poa remota,Poa remota,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poa trivialis,Poa trivialis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,252.36,7.074666339,237.8333333,NA,0.164933333,299.5,Medium,2.5,Moderate,0.153,NA,NA,NA,NA,NA
Polemonium acutiflorum,Polemonium acutiflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,3,Short,NA,NA,NA,NA,NA,NA
Polemonium caeruleum,Polemonium caeruleum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.45,165,59.5,1840,NA,0.967815385,10910.66667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala amarella,Polygala amarella,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.05375,189.53,3.4925,63.64,perennials,0.84,200.9230769,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala serpyllifolia,Polygala serpyllifolia,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1875,198.9933333,0.96530837,27.73333333,perennials,NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala vulgaris,Polygala vulgaris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.053333333,221.1033333,2.441479592,53.5425,perennials,1.746914286,36.38461538,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygonatum multiflorum,Polygonatum multiflorum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.445,148.21,48.355,2038.25,NA,94.42268571,47.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygonatum odoratum,Polygonatum odoratum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,167.22,86.835,2270,perennials,264.3043333,981.2833333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygonatum verticillatum,Polygonatum verticillatum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.42,147.63,24.28,1003,NA,66.47416665,204.8636364,NA,NA,NA,NA,NA,NA,NA,NA,NA
